ranking;Researcher;University;Citations;H-Index
498;Maria Elena Pol;Centro Brasileiro de Pesquisas Físicas;95459;130
499;Paolo Laurelli;Istituto Nazionale di Fisica Nucleare;95358;126
500;Ronald Harry Coase;University of Chicago;95332;56
501;Tobin Marks;Northwestern University;95306;150
502;Markus Klute;Massachusetts Institute of Technology MIT;95115;129
503;Marc Kirschner;Harvard Medical School;95096;154
504;Nahum Sonenberg;McGill University;95047;163
505;Nicholas White;Mahidol University;;
506;Sergey Kuleshov;Universidad Tecnica Federico Santa Maria;94980;128
507;P Gabriel Steg;Université Paris 7 Diderot Sorbonne Paris-Cité;94966;122
508;Ibahim Haddadi;;94799;87
509;Oana Vickey Boeriu;University of Sheffield;94734;117
510;Sean R Eddy;Howard Hughes Medical Institute;;
511;Douglas M Gingrich;University of Alberta;94677;128
512;Lucia Silvestris;Istituto Nazionale di Fisica Nucleare;94653;129
513;Stuart Orkin;Harvard University;94519;174
514;Saverio D'Auria;University of Glasgow;94238;124
515;Shaoping Li;Western Digital Inc;94104;122
516;Philippe Froguel;Imperial College London;;
517;Edward L Wright;University of California Los Angeles;93986;90
518;Mark McCarthy;University of Oxford;93974;140
519;C N R Rao #;Jawaharlal Nehru Centre for Advanced Scientific Research;93951;138
520;Peter Salovey;Yale University;93938;111
521;Martin Blaser;New York University School of Medicine;93856;147
522;Ian F Akyildiz;Georgia Institute of Technology;93845;107
523;Mostafa A El Sayed;Georgia Institute of Technology;93681;112
524;Alan Bryman;;93606;73
525;Shelley E Taylor;University of California Los Angeles;93541;123
526;David Bates;Harvard Medical School;93491;139
527;Thomas D Schmittgen;University of Florida;93321;44
528;Francesco Fabozzi;Università della Basilicata;;
529;Linus Pauling;California Institute of Technology;93065;111
530;Cass Sunstein;Harvard University;93006;139
531;Richard J Davidson;University of Wisconsin Madison;92757;152
532;Sidney G Winter;Wharton School University of Pennsylvania;92750;74
533;Dongchul Son;Kyungpook National University;92729;128
534;Slavoj Zizek;Birkbeck Institute for the Humanities;92686;112
535;Stewart Wolmark;;92632;121
536;John S Bell;CERN;92571;82
537;Nicola Cavallo;Università degli Studi della Basilicata;92483;129
538;Sheldon Cohen;Carnegie Mellon University;92388;108
539;Adam Torbicki;Centrum Medyczne Kształcenia Podyplomowego;92252;75
540;Peter E Hart;;92098;53
541;Paolo Giacomelli;Istituto Nazionale di Fisica Nucleare;92072;128
542;Kieron Burke;University of California Irvine;91976;55
543;Herbert W Marsh;Australian Catholic University;;
544;Michele Livan;;91960;129
545;Vishva Dixit;Genentech Inc;91946;143
546;Franco Ligabue;Scuola Normale Superiore di Pisa;91911;129
547;Florencia Canelli;Universität Zürich;91904;136
548;Richard Young;Massachusetts Institute of Technology MIT;91820;149
549;Claes Fornell;University of Michigan;91816;53
550;Elhanan Helpman;Harvard University;91781;80
551;David Watson;University of Notre Dame;91738;93
552;Stephen Carpenter;University of Wisconsin Madison;91538;124
553;Giulio Usai;University of Texas at Arlington;91358;128
554;Nicholas G Martin;QIMR Berghofer Medical Research Institute;91309;147
555;Marco Dorigo;Université Libre de Bruxelles;91279;94
556;Kenneth P Burnham;Colorado State University;91224;79
557;Emilio Meschi;CERN European Organization for Nuclear Research;91106;134
558;Jan Staessen;KU University of Leuven;91069;127
559;Jacquelynne Sue Eccles;University of California Irvine;91032;136
560;Aran Garcia Bellido;University of Rochester;91025;125
561;Kypros H Nicolaides;King's College London;90981;147
562;Harinder Singh Bawa;California State University Fresno;90862;118
563;Calin Alexa;IFIN-HH;90815;127
564;Gerald I Shulman;Howard Hughes Medical Institute;90581;149
565;Jean Bousquet;INSERM;90556;143
566;Jeremy Grimshaw;Ottawa Hospital Research Institute;90537;103
567;Jeffrey S Flier;Harvard University;90513;148
567;Paulus Kirchhof;University of Birmingham;90513;81
569;Don Norman;University of California San Diego;90429;89
570;John Pendry;Imperial College London;90417;105
571;Tomaso Poggio;Massachusetts Institute of Technology MIT;90365;127
572;Emmanuel Candes;Stanford University;90288;77
573;Gordon Mills;University of Texas MD Anderson Cancer Center;90097;144
574;Prolay Mal;National Institute of Science Education and Research Bhubaneswar;89946;119
575;S F Novaes;Universidade Estadual Paulista;89924;129
576;Ronald A DePinho;University of Texas MD Anderson Cancer Center;89911;154
577;Guido Tonelli;Universitat de Pisa;89864;132
578;F Stuart Chapin III;University of Alaska Fairbanks;89846;126
579;Thomas J R Hughes;University of Texas at Austin;89814;135
580;Norman Fairclough;University of Lancaster;89763;64
581;Marcel Vos;IFIC Valencia UVEG CSIC;89730;123
582;Matteo Negrini;Istituto Nazionale di Fisica Nucleare Bologna;89690;120
583;Erez Etzion;Tel Aviv University;;
584;Shankar Sastry;University of California Berkeley;89612;110
585;Lex Bouter;VU University Amsterdam;89515;156
586;Christof Koch;California Institute of Technology;89496;127
587;Yiliu Wang;IEEE;;
588;Jean Marie Lehn;CNRS;89337;129
589;Roberto Romero;NICHD NIH;89336;140
590;Kenneth A Dodge;Duke University;89167;140
591;Pratap Chandra Behera;University of Delhi;89133;126
592;John Rothwell;University College London;88883;158
593;Nicholas Wareham;University of Cambridge;88881;148
594;Isidro González Caballero;Universidad de Oviedo;88749;108
595;Bart De Moor;KU University of Leuven;88736;127
596;Martin Nowak;Harvard University;88631;132
597;Gabriel Nuñez;University of Michigan;88625;141
598;Jyothsna Komaragiri Shroff;88615;128;
599;C Wright Mills;Columbia University;88554;65
600;David Culler;University of California Berkeley;88539;117
601;Paul Thompson;University of Southern California;88458;137
602;Teun A Van Dijk;Pompeu Fabra University;88449;110
603;Gunnar von Heijne;Stockholm University;88291;116
604;Daniel L Schacter;Harvard University;88244;147
605;Meroni Pier Luigi;;88229;126
606;Joel Schwartz;Harvard School of Public Health;88141;167
607;Joseph Loscalzo;Harvard Medical School;87930;125
608;Bert W O'Malley;Baylor College of Medicine;87852;149
609;Ronald Inglehart;University of Michigan;87790;96
610;Frederick Wolfe;University of Kansas;87694;121
611;Mark Johnson;University of Oregon;87684;46
612;Yuri Tikhonov;Novosibirsk State University;;
613;Sandra Leone;Istituto Nazionale di Fisica Nucleare;87578;142
614;Dan Littman;New York University;87576;140
615;Francisco Varela;CNRS;87509;102
616;Nadia Rega;University of Napoli Federico II;87464;50
617;Richard Lipton #;Albert Einstein College of Medicine;87350;152
618;Peter J Schwartz;IRCCS Istituto Auxologico Italiano;87336;135
619;William Sandborn;University of California San Diego;87325;144
620;Tatsuo Kawai;Harvard Medical School;87314;108
621;Richard Lipton;Albert Einstein College of Medicine;87308;152
622;Jacob Israelachvili;University of California Santa Barbara;87160;115
623;Andre Sznajder;Universidade do Estado do Rio de Janeiro;87149;128
624;Sebastien Viret;CNRS;;
625;Timothy Heckman;Johns Hopkins University;86972;138
626;Gabriele Benelli;University of Kansas;86966;129
627;Sylvie Braibant;Università di Bologna;86942;126
628;Eram Rizvi;Queen Mary University of London;86940;137
629;James O Prochaska;Cancer Prevention Research Center;86842;105
630;Eduardo de Moraes Gregores;Universidade Federal do ABC;86787;126
631;Sergio Verdu;Princeton University;86742;77
632;Jonas Strandberg;Royal Institute of Technology;86720;124
633;Michael B Eisen;University of California Berkeley;86699;72
634;Ya Ju Lee;Institute of Electro-Optical Science and Technology, National Taiwan Normal;86654;112
635;Kyle Cranmer;New York University;86628;122
636;Kai Simons;Max Planck Gesellschaft MPG;86604;140
637;Philip S Yu;University of Illinois at Chicago;86562;139
638;Simonetta Gentile;Universita Sapienza;86338;112
639;Stephane Mallat;École Normale Supérieure;86322;59
640;Alberto Santoro;Universidade do Estado do Rio de Janeiro;86268;128
641;Anthony Evans;University of California Santa Barbara;86203;145
642;Antonietti Markus;Max Planck Gesellschaft MPG;86107;156
643;Alex Smola;Carnegie Mellon University;86003;99
644;Sergio Navas;Universidad de Granada;85934;70
645;Jonathan Hays;Queen Mary University of London;85903;123
646;A Jamil Tajik;;85869;150
647;Peter Hall;University of Melbourne;85754;128
648;Joseph Wang;New Mexico State University;;
649;Thomas M Achenbach;University of Vermont;85686;98
650;Paul DiMaggio;Princeton University;85659;66
651;Dimitris Loukas;NCSR Demokritos;85601;120
652;Antonio Lanzavecchia;ETH Zurich;85469;125
653;James Engel;University of Michigan;85435;78
653;Peter R Hobson;Brunel University;85435;127
655;Jeanne Brooks Gunn;Columbia University;85418;146
656;Roger Barlow;University of Huddersfield;85241;135
657;Gillian Knapp;Princeton University;85175;122
658;Fabrizio Fabbri;Istituto Nazionale di Fisica Nucleare Bologna;85166;123
659;David Spergel;Princeton University;85105;108
660;Dariush Mozaffarian;Friedman School of Nutrition Science & Policy;85103;101
661;Martijn Mulders;CERN European Organization for Nuclear Research;85080;123
662;Alberto Masoni;Dirigente di Ricerca INFN - Istituto Nazionale di Fisica Nucleare;85056;91
663;Stylianos E Antonarakis;Université de Genève;85017;131
664;Subir Sarkar;University of Oxford;;
665;Pietro Faccioli;LIP Lisbon, IST Lisbon;;
666;Paul W Armstrong;University of Alberta;84967;118
667;Tiziano Camporesi;CERN European Organization for Nuclear Research;84935;121
668;Michael O'Keeffe;;84914;101
669;Xavier Espinal Curull;CERN European Organization for Nuclear Research;84836;128
670;Kenneth Rogoff;Harvard University;84823;95
671;Alejandro Schaffer;National Institutes of Health NIH;84634;68
672;Christopher B Field;Carnegie Institution;84472;125
673;Giacomo Bruno;Université Catholique de Louvain;84417;127
674;Antonio Ereditato #;University of Bern;84359;118
675;Jean Pierre Changeux;Pasteur Institute;84342;144
676;Danforth Miller;Novartis Pharmaceuticals;84334;120
677;John Morley;Saint Louis University;84327;145
677;Shigekazu Nagata;Kyoto University;84327;124
679;Helmut Sies;Heinrich Heine Universität Düsseldorf;84303;135
680;Christopher Dobson;University of Cambridge;84283;140
681;Steven G Louie;University of California Berkeley;84220;139
682;Stephen M Smith;FMRIB Centre, Oxford University;84211;97
683;René S Kahn;University Medical Center Utrecht;84199;136
684;Jean Luc Bredas;King Abdullah University of Science and Technology;84160;133
685;Tulika Bose;Boston University;84078;125
686;Richard M Lerner;Tufts University;84015;95
687;Owen White;University of Maryland;84008;90
688;Alexander Belyaev;University of Southampton;83984;129
689;Anders M Dale;University of California San Diego;83956;125
690;I Kawachi;Harvard University;83918;142
691;Giuseppe Bagliesi;Istituto Nazionale di Fisica Nucleare;83914;123
692;Thomas L Madden;NCBI NLM NIH;83731;30
693;Hirokazu Ishino;Okayama University;;
694;Paul R Ehrlich;Stanford University;83640;137
695;Russell Betts;Illinois Institute of Technology;83631;127
696;Alex Zunger;University of Colorado Boulder;83614;132
697;Jonathan W Lee;Sandia National Laboratories;83580;111
698;David H Barlow;Boston University;83569;130
699;Stanislas Dehaene;Collège de France;83528;139
700;Richard Feynman;California Institute of Technology;83520;60
701;Thomas Koffas;Carleton University;83515;106
702;Roberto Di Nardo;CERN European Organization for Nuclear Research;83471;104
703;Tim Bollerslev;Duke University;83452;79
704;Colin Louis Masters;University of Melbourne;83432;135
705;George Calin;University of Texas MD Anderson Cancer Center;83379;108
706;Francisco Yumiceva;Florida Institute of Technology;83354;125
707;P Kolh;Université de Liège;83343;47
708;Linda Darling Hammond;Stanford University;83338;128
709;Jens K Norskov;Stanford University;83327;142
710;Andrew Y Ng;;83326;108
711;Richard Nisbett;University of Michigan;83308;96
712;Bengt Muthen;Statmodel;83303;96
713;Rudolph E Tanzi;Harvard Medical School;83284;129
714;Phaedon Avouris;IBM;83247;135
715;Paolo Bartalini;Central China Normal University;83202;121
716;Toyoko J Orimoto;Northeastern University;83180;129
717;Manuel Cardona;Max Planck Gesellschaft MPG;83117;124
718;Guanrong Chen;City University of Hong Kong;83113;136
718;Metin Arik;Bogazici University;83113;115
720;Farida Fassi;Mohammed V University in Rabat;83089;131
721;Ted Belytschko;Northwestern University;83066;138
722;Dimitri Bertsekas;Massachusetts Institute of Technology MIT;83056;88
723;Zhihua Liang;;83053;103
724;Antonio Amorim;Universidade de Lisboa;83015;120
725;David Anderson;;83001;73
726;Alexandre Vaniachine;Argonne National Laboratory;82988;117
727;James L McClelland;Stanford University;82959;95
728;Gérald Simonneau;;82933;129
729;Robert A Baron;Oklahoma State University;82909;131
730;Kenneth Bollen;University of North Carolina at Chapel Hill;82766;78
731;Peter Dalgaard;Copenhagen Business School;82765;21
732;Michael R Garey;;82611;56
733;Fedor Ratnikov;High School of Economics Moscow;82584;120
734;Nicholas Talley;University of Newcastle;82548;160
735;Lev Pitaevskii;University of Trento;;
736;Tommaso Tabarelli de Fatis;Universita di Milano Bicocca;82454;119
737;Roberto Carlin;Università di Padova;82438;124
738;Ian H Witten;University of Waikato;82368;74
739;Tom Bruno;NIST;82362;45
740;Vincenzo Cavasinni;Università di Pisa;;
741;John W Harris;Yale University;82285;134
742;Robert Plomin;King's College London;82283;142
743;Daniel J Rader;University of Pennsylvania;82187;136
744;Ernest E Moore;Denver Health Medical Center;82150;134
745;Anna Di Ciaccio;Università Roma Tor Vergata;82134;113
746;Frank Wilczek;Massachusetts Institute of Technology MIT;82071;123
747;Andrew D Oxman;Norwegian Institute of Public Health;82027;106
748;Thomas Davenport;Babson College;82022;85
749;Masahiro Ehara;Institute for Molecular Science;81986;51
750;Reka Albert;Pennsylvania State University;81980;48
751;Ted M Dawson;Johns Hopkins University;81976;144
752;Helmut Wolters;LIP Coimbra;81953;115
753;Philip Jones;University of East Anglia;81948;132
754;James Tiedje;Michigan State University;81940;141
755;Colin Camerer;California Institute of Technology;81933;105
755;Freya Blekman;Vrije Universiteit Brussel;81933;120
757;Giorgio Trinchieri #;National Cancer Institute NIH;81918;142
758;Florencio Lopez de Silanes;EDHEC Business School;81847;48
759;Marco Paganoni;Università di Milano Bicocca;;
760;R Core Team;;81800;23
761;David F Larcker;Stanford University;81776;69
762;Tim Hubbard;King's College London;81757;83
763;Tiziano Rovelli;Istituto Nazionale di Fisica Nucleare Bologna;81751;115
764;Serkant Ali Çetin;Istanbul Bilgi University;81670;113
765;John Y Campbell;Harvard University;81614;94
766;Helio Takai;Brookhaven National Laboratory;81590;115
767;Sebastian Thrun;Stanford University;81573;134
768;Adrian Furnham;University College London;81557;138
769;Panos Razis;University of Cyprus;81544;116
770;Jaakko Kaprio;University of Helsinki;81515;141
771;Gad Getz;Broad Institute Harvard MIT;81442;109
772;George Church;Harvard Medical School;81374;140
773;Sami Kama;Southern Methodist University;81370;126
774;Ion Stoica;University of California Berkeley;81323;110
775;Monique Breteler;;81282;145
776;David S Brown;University of Colorado;81225;128
777;Donald Ingber;Harvard University;81193;144
778;Christophe Delaere;Université Catholique de Louvain;81145;121
779;Gianluca Alimonti;Istituto Nazionale di Fisica Nucleare;;
780;Justin Smith;Drexel University;80994;102
781;Jean Pierre Després;;80992;131
782;Luiz Mundim;Universidade do Estado do Rio de Janeiro;80884;125
783;Joe Gray;Oregon Health and Sciences University;80882;126
784;Veysi Erkcan Ozcan;Bogazici University;80869;128
785;Else Lytken;Lund University;80845;119
786;Michael VonKorff;Kaiser Permanente Washington Health Research Institute;80766;151
786;Paolo Francavilla;INFN Pisa;80766;125
788;Patricia Goldman Rakic;Yale University;80666;149
789;Zeljko Ivezic;University of Washington;80650;123
790;Susan Fiske;Princeton University;80620;107
791;Marko Mikuz;University of Ljubljana;;
792;David Lowe;Google;80579;48
793;Nuno Leonardo;CERN European Organization for Nuclear Research;80545;124
794;Ronald M Krauss;Children's Hospital Oakland Research Institute;80534;123
795;Thomas C Quinn;Johns Hopkins University;80433;135
796;Dongyuan Zhao;Fudan University;80426;131
797;Paul Milgrom;Stanford University;80378;73
798;Martin Sevior;University of Melbourne;80359;118
799;Guy Salvesen;Sanford-Burnham Medical Research Institute;80291;117
800;Dezso Horvath;;80259;119
801;Prashant Shukla;Bhabha Atomic Research Centre;80240;117
802;Sascha Caron;Radboud University Nijmegen;;
803;Endel Tulving;University of Toronto;80164;107
803;Mary Cushman;University of Vermont;80164;107
805;J Rouleau;Universite de Montreal;80163;112
806;Arnold B Bakker;Erasmus University Rotterdam;80160;120
807;James J Gross;Stanford University;80052;119
808;Ernst Fehr;Universität Zürich;79948;103
809;William L Jorgensen;Yale University;79870;109
810;Vipin Kumar #;University of Minnesota;79778;107
811;Ronald N Jones;JMI Laboratories;79669;131
812;Will Brooks;Universidad Tecnica Federico Santa Maria;79664;125
813;Steven H Strogatz;Cornell University;79632;71
814;Pablo García Abia;Centro de Investigaciones Energéticas Medioambientales y Tecnológicas CIEMAT;79630;115
815;Yehuda Shoenfeld;Saint Petersburg State University;79576;121
816;Laura Fabbri;University of Bologna;79563;99
817;Bernard Moss;National Institutes of Health NIH;79523;149
818;Takeuchi Osamu;Kyoto University;79505;106
819;Edward T Bullmore;University of Cambridge;;
820;J M Hernandez;Centro de Investigaciones Energéticas Medioambientales y Tecnológicas CIEMAT;79458;120
821;M K Jha;Purdue University;79439;117
822;Piotr Zalewski;;79430;114
823;Chris Ponting;University of Edinburgh;79400;103
824;Richard M Myers;HudsonAlpha Institute for Biotechnology;79360;130
825;Iacopo Vivarelli;University of Sussex;79336;101
826;Jacob Seidell;VU University Amsterdam;79284;111
827;Stephen A Ross;MIT Sloan School of Management;79276;73
828;John Canny;University of California Berkeley;79240;70
829;Wil van der Aalst;Eindhoven University of Technology;79178;134
830;Alan E Kazdin;Yale University;79150;136
831;H H J ten Kate;CERN;;
831;Sanjay Padhi;University of California San Diego;;
833;Frits Rosendaal;Leiden University Medical Center;79134;133
834;Jonathan Epstein;Johns Hopkins University;79050;137
835;Josef Penninger;Austrian Academy of Sciences;78980;133
836;Antonio Policicchio;Istituto Nazionale di Fisica Nucleare;78780;98
837;Paolo Boffetta;Icahn School of Medicine at Mount Sinai;78732;139
838;Riccardo Di Sipio;University of Bologna;;
839;George Loewenstein;Carnegie Mellon University;78411;119
840;Inder Verma;Salk Institute;78399;144
841;Hakobyan Hrachya;Yerevan Physics Institute;78392;109
842;Lei Jiang;University of Alabama Birmingham;78313;130
843;Peter J Lang;University of Florida;78265;116
844;Vincenzo Innocente;CERN;78156;123
845;P Legendre;Universite de Montreal;78131;95
846;Laurence Steinberg;Temple University;77952;120
847;Derek Lovley;University of Massachusetts Amherst;77942;152
848;Piotr Chomczynski;MRC;77940;30
849;Deepak Kar;University of Glasgow;77934;119
850;Noboru Mizushima;University of Tokyo;77887;106
851;Bertrand Laforge;Université Pierre et Marie Curie;77802;111
852;Mengcen Wang;Hokkaido University;77785;18
853;Zoltán Trócsányi;University of Debrecen;77718;119
854;Hideo Hosono;Tokyo Institute of Technology;77691;115
855;Ronald Workman;George Washington University;77681;52
856;Oxana Smirnova;Lund University;77680;107
857;Alaettin Serhan Mete;University of California Irvine;77594;123
858;Lewis L Lanier;University of California San Francisco;77569;150
858;Yang Yang;University of California Los Angeles;77569;130
860;Arjun Appadurai;New York University;77554;68
861;Luc Van Gool;ETH Zurich;77530;114
862;Giuseppe Francesco Tartarelli;Istituto Nazionale di Fisica Nucleare Milano;77501;113
863;Joseph T Coyle;Harvard Medical School;77482;124
864;Richard Deyo;Oregon Health & Science University;77450;136
865;Tim J Cole;University College London;77433;125
866;Ben Shneiderman;University of Maryland College Park;77402;111
867;Phillip R Shaver;University of California Davis;77364;111
868;L Cardon;GlaxoSmithKline;77321;104
869;Stephen L Buchwald;Massachusetts Institute of Technology MIT;77211;153
870;W James Kent;University of California Santa Cruz;77165;67
871;Dugan O'Neil;Simon Fraser University;77160;113
872;Bart Staels;Université Lille 2;77156;139
872;Judea Pearl;University of California Los Angeles;77156;88
874;Pedro Galli Mercadante;Universidade Federal do ABC;77124;121
875;David S Eisenberg;University of California Los Angeles;77113;126
876;Paul M Vanhoutte;University of Hong Kong;77083;134
877;Marco Delmastro;CNRS;;
878;Richard Cavanaugh;University of Illinois Chicago;;
879;Alvaro Pascual Leone;Harvard University;77018;148
880;A Irles;LAL;;
881;Vasiliki Mitsou;Consejo Superior de Investigaciones Científicas;76949;109
882;Concezio Bozzi;Istituto Nazionale di Fisica Nucleare;76918;131
883;Stephen Pearton;University of Florida;76861;111
884;Victor Velculescu;Johns Hopkins University;76847;95
885;Daniel S Levin;University of Michigan;76787;111
886;Lawrence Appel;Johns Hopkins University;76760;114
887;Robert M Strieter;Novartis Institutes for Biomedical Research;76754;154
888;Steve C R Williams;King's College London;76692;137
889;Leonardo Carminati;Universita degli Studi di Milano;76668;113
890;Yoshua Bengio;Universite de Montreal;76591;100
891;Michael Boehnke;University of Michigan;76567;117
892;Mark D Adams;Jackson Laboratory for Genomic Medicine;76566;73
893;Richard G M Morris;University of Edinburgh;76563;93
894;Alice Eagly;Northwestern University;76549;94
895;Charles Van Loan;Cornell University;76545;48
896;Rahmat Rahmat;;76509;124
897;Giacomo Polesello;Istituto Nazionale di Fisica Nucleare;76443;110
898;Elio Riboli;Imperial College London;76442;138
899;Willem M de Vos;Wageningen University;;
900;Giovanni Organtini;Universita Sapienza;76422;116
901;Albert de la Chapelle;Ohio State University;76419;129
902;Ruslan Mashinistov;;76408;107
903;J A Fodor;Rutgers University;76396;88
904;Alan Sill;Texas Tech University;76374;120
905;Philip Scheltens;VU University Medical Center;76336;135
906;Manel Esteller;IDIBELL;76334;131
907;Juan E Peralta;Central Michigan University;76308;42
908;William G Cochran 1909 1980;Harvard University;76305;71
909;Pak Sham;University of Hong Kong;76252;116
910;Ignazio Lazzizzera;Università di Trento;76246;127
911;John W Hutchinson;Harvard University;76212;133
912;David J Brooks;Aarhus University;76207;143
913;Martti Raidal;National Institute of Chemical Physics and Biophysics Tallinn;76194;121
914;Stanley Falkow;Stanford University;76188;148
915;Allan Collins;Northwestern University;76167;63
916;Kevin J Tracey;Feinstein Institute for Medical Research;76103;130
917;Michael A Hitt;Texas A&M University College Station;76078;119
917;Thomas D Cook;Northwestern University;76078;72
919;A S Szalay;Johns Hopkins University;75983;103
920;Henry Giroux;McMaster University;75965;130
921;Joanna Wang;University of New South Wales;75948;101
922;Y J Liu;Birmingham;;
923;James Hill;University of Colorado;75867;120
924;John A Rogers #;Northwestern University;75859;137
925;Arul Chinnaiyan;University of Michigan;75827;129
926;Frederik Barkhof;VU University Medical Center;75796;138
927;Christopher M Bishop;Microsoft Research;75743;53
928;Vincent Lemaître;Université Catholique de Louvain;75605;116
929;Eric Jansen;Euro-Mediterranean Center on Climate Change;75596;108
930;Edmund T Rolls;Oxford Centre for Computational Neuroscience;;
931;David P Farrington;University of Cambridge;75570;149
932;Chen Chuncheng;Insitute of Chemistry;75564;110
933;Neta Bahcall;Princeton University;75550;115
934;David Swofford;Duke University;75485;47
935;Francesca Cavallari;Istituto Nazionale di Fisica Nucleare Roma;75481;116
936;Raymond Frey;University of Oregon;75452;134
937;Boris B Stefanov;Aisthon Ltd;75397;53
937;Ronald Burt;;75397;69
939;Guido Volpi;University of Pisa;75388;113
940;Robert Post;Grounded Theory Institute;75385;143
941;Pierre Petroff;University of California Santa Barbara;75371;126
942;John C Marshall;University of Toronto;75367;97
943;Stephen Chanock;National Institutes of Health NIH;75314;127
944;John Urry;University of Lancaster;75252;88
945;Barry Popkin;University of North Carolina at Chapel Hill;75240;138
946;Jeffrey Kim;Radiant Genomics;75235;95
947;Joseph R Ecker;Howard Hughes Medical Institute;;
948;Morten Dam Jørgensen;Terma A/S;75180;109
949;Joseph Jankovic;Baylor College of Medicine;75172;140
950;Robert Costanza;Australian National University;75157;108
951;Anthony E Lang;University of Toronto;75140;141
952;Enrico Tassi;Universita della Calabria;;
953;Michael F Scheier;Carnegie Mellon University;75029;93
954;Garret A FitzGerald;University of Pennsylvania;75021;125
955;Eugene C Butcher;Stanford University;75019;146
956;Peter Fonagy;University College London;74975;122
957;Orhan Cakir;Ankara University;74952;107
958;Mark Halpern;University of British Columbia;74919;85
959;L Aravind;National Institutes of Health NIH;74906;121
960;Miguel Villaplana;Universita degli Studi di Milano;;
961;Jennifer Lee;University of North Texas;74852;112
962;William T Abraham;Ohio State University;74847;107
963;Donal D C Bradley;Imperial College London;74837;117
964;Duncan J Watts;Microsoft Research;74827;46
965;Jerry W Shay;University of Texas Southwestern Medical Center;74813;134
966;James M Tour;Rice University;74793;127
967;Mikhail Katsnelson;Radboud University Nijmegen;74768;94
968;David A Weitz;Harvard University;74743;141
969;Steven Heymsfield;Pennington;74706;132
970;Hazel Markus;Stanford University;74649;92
971;Cordelia Schmid;INRIA;74645;97
972;Sander Greenland;University of California Los Angeles;74639;123
973;Stephan Meyer;University of Chicago;74612;75
974;John Maynard Keynes;Cambridge University;74585;61
975;G Mantovani;Università di Perugia;74571;115
976;Chuen Tsai Sun;National Chiao Tung University;74517;101
977;Steven Narod;Women's College Research Institute;74516;125
978;Valerio Vercesi;Istituto Nazionale di Fisica Nucleare;74490;110
979;R Sekhar Chivukula;Michigan State University;74442;46
980;Robert E W Hancock;University of British Columbia;74408;141
981;Johan Auwerx;École Polytechnique Fédérale de Lausanne;74378;138
982;George Perry;University of Texas at San Antonio;74364;136
983;Victor Montori;Mayo Clinic;74338;114
984;Graeme J Hankey;University of Western Australia;74332;108
985;Philip Kim;Harvard University;74304;89
986;Terence P Speed;Walter & Eliza Hall Institute;74302;95
987;Kevin Black;Boston University;74288;106
988;Daniel Pauly;University of British Columbia;74287;120
989;Xiangyang Ju;University of Wisconsin Madison;74244;98
990;Rattan Lal;;74222;129
991;Andrea C Ferrari;University of Cambridge;74194;97
992;John Terning;University of California Davis;74172;61
993;Pier Paolo Pandolfi;Beth Israel Deaconess Medical Center;74145;141
994;Norbert Neumeister;Purdue University;74144;121
995;Randy L Buckner;Harvard University;74120;121
996;Anders Björklund;Lund University;74118;154
997;Stephen Krashen;;74115;81
998;Carol Dweck;Stanford University;74092;103
999;Andrew Pardoll;Johns Hopkins University;74076;119
1000;G D Farquhar;Australian National University;74056;123
